,latitude,longitude,admission_rate,sat_verbal_midrange,sat_math_midrange,sat_writing_midrange,act_combined_midrange,act_english_midrange,act_math_midrange,act_writing_midrange,sat_total_average,undergrad_size,percent_white,percent_black,percent_hispanic,percent_asian,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,completion_rate,percent_female,agege24,faminc,mean_earnings_6_years,median_earnings_6_years,mean_earnings_10_years,median_earnings_10_years,school_name,region,city,state
5896,33.5826,-112.1481,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,32.0,0.1563,0.0938,0.0313,0.0,0.3438,22865.0,23953.0,11700.0,14446.0,11301.0,5748.0,0.52845,0.46525,0.66000002622604,0.44999998807907,36397.06,20600.0,19400.0,22400.0,19600.0,Regency Beauty Institute-Metro Center,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
5979,33.5787,-112.1149,0.7092,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,247.0,0.4211,0.1336,0.2146,0.0243,0.3077,26648.0,17831.0,18048.0,18048.0,6900.0,6040.0,0.2308,0.46525,0.66000002622604,0.44999998807907,36397.06,33700.0,30300.0,42300.0,38400.0,ITT Technical Institute-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6016,33.5657,-112.1044,0.5556,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,515.0,0.6291,0.0485,0.1553,0.0563,0.4039,22228.0,17831.0,17280.0,17280.0,6529.0,6559.0,0.24,0.46525,0.66000002622604,0.44999998807907,36397.06,62000.0,58000.0,57400.0,56300.0,Chamberlain College of Nursing-Arizona,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6019,33.4807,-112.2277,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,70.0,0.1429,0.0714,0.1571,0.0,0.2429,22865.0,23304.0,11700.0,14446.0,8172.0,5748.0,0.52845,0.46525,0.66000002622604,0.44999998807907,36397.06,20600.0,19400.0,22400.0,19600.0,Regency Beauty Institute-Tolleson,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6158,33.4542,-112.04299999999999,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,271.0,0.2804,0.1697,0.3137,0.0111,0.0,24528.0,17831.0,12428.0,12428.0,3233.0,4330.0,0.2162,0.46525,0.66000002622604,0.44999998807907,36397.06,31700.0,29900.0,28600.0,25200.0,Fortis College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6169,33.5668,-112.1075,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,8917.0,0.514,0.3068,0.0803,0.0059,0.0,37108.0,17831.0,18885.0,18885.0,2696.0,5461.0,0.0737,0.2388,0.66000002622604,0.44999998807907,36397.06,37100.0,33800.0,41800.0,38200.0,Argosy University-Phoenix Online Division,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6188,33.6054,-112.1185,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,637.0,0.4521,0.1413,0.3093,0.0235,0.0,23438.0,17831.0,12114.0,12114.0,3550.0,5984.0,0.129,0.46525,0.66000002622604,0.44999998807907,36397.06,26800.0,25500.0,29100.0,25200.0,Brown Mackie College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6344,33.5741,-112.1124,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,291.0,0.0275,0.0137,0.0172,0.0034,0.0103,22863.0,17831.0,14245.0,14245.0,2593.0,4181.0,0.52845,0.46525,0.66000002622604,0.44999998807907,36397.06,30300.0,27200.0,38700.0,34100.0,Sanford-Brown College-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6381,33.5239,-112.1329,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,187.0,0.5294,0.0481,0.4064,0.0053,0.262,22865.0,20432.0,11700.0,14446.0,3483.0,5748.0,0.52845,0.46525,0.66000002622604,0.44999998807907,36397.06,27600.0,25000.0,34300.0,30900.0,Paul Mitchell the School-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6521,33.5317,-112.0651,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,1089.0,0.3196,0.0597,0.0404,0.0064,0.0239,18603.0,17831.0,6795.0,6795.0,1654.0,6993.0,0.1707,0.4815,0.66000002622604,0.44999998807907,36397.06,27600.0,25000.0,34300.0,30900.0,National Paralegal College,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6679,33.5702,-112.1207,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,459.0,0.4749,0.0763,0.3028,0.0196,0.4815,22865.0,21995.0,11700.0,14446.0,3680.0,5748.0,0.52845,0.46525,0.66000002622604,0.44999998807907,36397.06,22700.0,20100.0,28100.0,24900.0,Utah College of Massage Therapy-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6689,33.6294,-112.1169,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,823.0,0.0778,0.0851,0.0279,0.0024,0.0,22865.0,18615.0,11700.0,14446.0,3206.0,5748.0,0.52845,0.46525,0.66000002622604,0.44999998807907,36397.06,24300.0,23500.0,28000.0,26900.0,Allen School-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6706,33.4681,-112.2644,0.9375,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,262.0,0.3359,0.0992,0.4313,0.0229,0.1832,26994.0,17831.0,18048.0,18048.0,3083.0,5067.0,0.125,0.46525,0.66000002622604,0.44999998807907,36397.06,33700.0,30300.0,42300.0,38400.0,ITT Technical Institute-Phoenix West,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6714,33.5753,-112.1184,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,451.0,0.3282,0.1752,0.3659,0.0133,0.0,27752.0,17831.0,17211.0,17211.0,1899.0,3623.0,0.3571,0.4375,0.66000002622604,0.44999998807907,36397.06,20400.0,19400.0,34300.0,30900.0,College America-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
6716,33.6402,-112.0577,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,233.0,0.5665,0.0601,0.3176,0.0086,0.4077,22865.0,13747.0,11700.0,14446.0,7659.0,5748.0,0.52845,0.46525,0.66000002622604,0.44999998807907,36397.06,19100.0,16400.0,21300.0,17900.0,Avalon School of Cosmetology-Phoenix,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
7027,38.8726,-86.4523,0.8834,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,1203.0,0.5528,0.0873,0.261,0.0366,0.5079,25099.0,17831.0,16010.0,16010.0,4400.0,6875.0,0.2153,0.2675,0.66000002622604,0.44999998807907,36397.06,27600.0,25000.0,34300.0,30900.0,DeVry University-Arizona,"Southwest (AZ, NM, OK, TX)",Phoenix,AZ
